question,answer,source,focus_area
How to diagnose Anxiety Disorders ?,"Anxiety disorders sometimes run in families, but no one knows for sure why some people have them while others don't. Anxiety disorders are more common among younger adults than older adults, and they typically start in early life. However, anyone can develop an anxiety disorder at any time. Below are risk factors for these anxiety disorders. - Generalized Anxiety Disorder (GAD)  -  Social Anxiety Disorder (Social Phobia)  - Panic Disorder Generalized Anxiety Disorder (GAD) Social Anxiety Disorder (Social Phobia) Panic Disorder Generalized Anxiety Disorder - Risk Factors Generalized anxiety disorder (GAD) affects about 6.8 million American adults, including twice as many women as men. The disorder develops gradually and can begin at any point in the life cycle, although the years of highest risk are between childhood and middle age. The average age of onset is 31 years old. Social Phobia - Risk Factors Social phobia affects about 15 million American adults. Women and men are equally likely to develop the disorder, which usually begins in childhood or early adolescence. There is some evidence that genetic factors are involved. Panic Disorder - Risk Factors Panic disorder affects about 6 million American adults and is twice as common in women as men. Panic attacks often begin in late adolescence or early adulthood, but not everyone who experiences panic attacks will develop panic disorder. Many people have just one attack and never have another. The tendency to develop panic attacks appears to be inherited. Diagnosis Can Be Difficult There are a number of reasons why it can be difficult to accurately diagnose an anxiety disorder in older adults. - Anxiety disorders among older adults frequently occur at the same time as other illnesses such as depression, diabetes, heart disease, or a number of other medical illnesses. Problems with cognition (thinking) and changes in life circumstances can also complicate matters. Sometimes the physical signs of these illnesses can get mixed up with the symptoms of anxiety, making it difficult to determine if a person has a true anxiety disorder. For instance, a person with heart disease sometimes has chest pain, which can also be a symptom of a panic disorder.  Anxiety disorders among older adults frequently occur at the same time as other illnesses such as depression, diabetes, heart disease, or a number of other medical illnesses. Problems with cognition (thinking) and changes in life circumstances can also complicate matters. Sometimes the physical signs of these illnesses can get mixed up with the symptoms of anxiety, making it difficult to determine if a person has a true anxiety disorder. For instance, a person with heart disease sometimes has chest pain, which can also be a symptom of a panic disorder. -  Doctors can have difficulty distinguishing between anxiety caused by adapting to difficult life changes, and a true anxiety disorder. For example, if you fell and broke a hip, you may be justifiably fearful of going out for a while. But that would not mean you have developed an anxiety disorder. Doctors can have difficulty distinguishing between anxiety caused by adapting to difficult life changes, and a true anxiety disorder. For example, if you fell and broke a hip, you may be justifiably fearful of going out for a while. But that would not mean you have developed an anxiety disorder. - Sometimes the worrying symptoms of a medical illness can lead to an anxiety disorder. Or, sometimes the side effects of medication can cause anxiety. Also, a disability or a change in lifestyle caused by a medical illness may lead to an anxiety disorder. Muscle tightness, feeling very tense all the time, and difficulty sleeping can also be symptoms of a physical illness or an anxiety disorder, complicating diagnosis. Sometimes the worrying symptoms of a medical illness can lead to an anxiety disorder. Or, sometimes the side effects of medication can cause anxiety. Also, a disability or a change in lifestyle caused by a medical illness may lead to an anxiety disorder. Muscle tightness, feeling very tense all the time, and difficulty sleeping can also be symptoms of a physical illness or an anxiety disorder, complicating diagnosis. Diagnosis Here is how these anxiety disorders are diagnosed. - Generalized Anxiety Disorder (GAD)  - Panic Disorder  - Social Anxiety Disorder (Social Phobia) Generalized Anxiety Disorder (GAD) Panic Disorder Social Anxiety Disorder (Social Phobia) Generalized Anxiety Disorder (GAD) - Diagnosis GAD can be diagnosed once a person worries excessively about a variety of everyday problems for at least 6 months. People with GAD may visit a doctor many times before they find out they have this disorder. They ask their doctors to help them with headaches or trouble falling asleep, which can be symptoms of GAD, but they don't always get the help they need right away. It may take doctors some time to be sure that a person has GAD instead of something else. Social Phobia - Diagnosis A doctor can tell that a person has social phobia if the person has had symptoms for at least 6 months. Social phobia usually starts during youth. Without treatment, it can last for many years or a lifetime. Panic Disorder - Diagnosis People with panic disorder may sometimes go from doctor to doctor for years and visit the emergency room repeatedly before someone correctly diagnoses their condition. This is unfortunate, because panic disorder is one of the most treatable of all the anxiety disorders, responding in most cases to certain kinds of medication or certain kinds of cognitive psychotherapy, which help change thinking patterns that lead to fear and anxiety. If You Have Symptoms Anxiety disorders are treatable. If you think you have an anxiety disorder, talk to your family doctor. Your doctor should do an exam to make sure that another physical problem isn't causing the symptoms. The doctor may refer you to a mental health specialist. You should feel comfortable talking with the mental health specialist you choose. If you do not, seek help elsewhere. Once you find a mental health specialist you are comfortable with, you should work as a team and make a plan to treat your anxiety disorder together. Talk About About Past Treatment People with anxiety disorders who have already received treatment for an anxiety disorder should tell their doctor about that treatment in detail. If they received medication, they should tell their doctor what medication was used, what the dosage was at the beginning of treatment, whether the dosage was increased or decreased while they were under treatment, what side effects may have occurred, and whether the treatment helped them become less anxious. If they received psychotherapy, they should describe the type of therapy, how often they attended sessions, and whether the therapy was useful.",NIHSeniorHealth,Anxiety Disorders
what research (or clinical trials) is being done for Anxiety Disorders ?,"Clinical trials are part of clinical research and at the heart of all treatment advances. Clinical trials look at new ways to prevent, detect, or treat disease. The National Institute of Mental Health at NIH supports research studies on mental health and disorders. To learn how clinical trials work, see  Participating in Clinical Trials. To see NIH-funded studies currently recruiting participants in anxiety disorders, visit www.ClinicalTrials.gov  and type in ""anxiety disorders."" Clinical Trials.gov is the NIH/National Library of Medicine's registry of federally and privately funded clinical trials for all disease. To see personal stories of people who have volunteered for clinical trials, visit  NIH Clinical Trials Research and You.",NIHSeniorHealth,Anxiety Disorders
How many people are affected by Anxiety Disorders ?,Studies estimate that anxiety disorders affect around 15 percent of older adults in a given year. More women than men experience anxiety disorders. They tend to be less common among older adults than younger adults. But developing an anxiety disorder late in life is not a normal part of aging.,NIHSeniorHealth,Anxiety Disorders
What is (are) Anxiety Disorders ?,"Anxiety disorders are a collection of disorders that include generalized anxiety disorder (GAD), social phobia, and panic disorder.",NIHSeniorHealth,Anxiety Disorders
What is (are) Anxiety Disorders ?,"All of us worry about things like health, money, or family problems. But people with generalized anxiety disorder (GAD) are extremely worried about these and many other things, even when there is little or no reason to worry about them. They are very anxious about just getting through the day. They think things will always go badly. At times, worrying keeps people with GAD from doing everyday tasks. People with GAD cant seem to get rid of their concerns, even though they usually realize that their anxiety is more intense than the situation warrants. They cant relax, startle easily, and have difficulty concentrating. Often they have trouble falling asleep or staying asleep. Physical symptoms that often accompany the anxiety include fatigue, headaches, muscle tension, muscle aches, difficulty swallowing, trembling, twitching, irritability, sweating, nausea, lightheadedness, having to go to the bathroom frequently, feeling out of breath, and hot flashes. When their anxiety level is mild, people with GAD can function socially and hold down a job. Although they dont avoid certain situations as a result of their disorder, people with GAD can have difficulty carrying out the simplest daily activities if their anxiety is severe.  Learn more about generalized anxiety disorder (GAD).",NIHSeniorHealth,Anxiety Disorders
What is (are) Anxiety Disorders ?,"In social phobia, a person fears being judged by others or of being embarrassed. This fear can get in the way of doing everyday things such as going to work, running errands or meeting with friends. People who have social phobia often know that they shouldn't be so afraid, but they can't control their fear. People with social phobia tend to -  be very anxious about being with other people and have a hard time talking to them, even though they wish they could  - be very self-conscious in front of other people and feel embarrassed  - be very afraid that other people will judge them  - worry for days or weeks before an event where other people will be  - stay away from places where there are other people  - have a hard time making friends and keeping friends  -  blush, sweat, or tremble around other people  -  feel nauseous or sick to their stomach when with other people. be very anxious about being with other people and have a hard time talking to them, even though they wish they could be very self-conscious in front of other people and feel embarrassed be very afraid that other people will judge them worry for days or weeks before an event where other people will be stay away from places where there are other people have a hard time making friends and keeping friends blush, sweat, or tremble around other people feel nauseous or sick to their stomach when with other people.  Learn more about social phobia.",NIHSeniorHealth,Anxiety Disorders
What is (are) Anxiety Disorders ?,"In panic disorder, a person has sudden, unexplained attacks of terror, and often feels his or her heart pounding. During a panic attack, a person feels a sense of unreality, a fear of impending doom, or a fear of losing control. Panic attacks can occur at any time. People with panic disorder may have - sudden and repeated attacks of fear  - a feeling of being out of control during a panic attack  - an intense worry about when the next attack will happen  - a fear or avoidance of places where panic attacks have occurred in the past  - physical symptoms during an attack, such as a pounding or racing heart, sweating, breathing problems, weakness or dizziness, feeling hot or a cold chill, tingly or numb hands, chest pain, or stomach pain.  sudden and repeated attacks of fear a feeling of being out of control during a panic attack an intense worry about when the next attack will happen a fear or avoidance of places where panic attacks have occurred in the past physical symptoms during an attack, such as a pounding or racing heart, sweating, breathing problems, weakness or dizziness, feeling hot or a cold chill, tingly or numb hands, chest pain, or stomach pain. Learn more about panic disorder.",NIHSeniorHealth,Anxiety Disorders
Who is at risk for Anxiety Disorders? ?,"Generalized anxiety disorder (GAD) affects about 6.8 million American adults, including twice as many women as men. The disorder develops gradually and can begin at any point in the life cycle, although the years of highest risk are between childhood and middle age. The average age of onset is 31 years old. Social phobia affects about 15 million American adults. Women and men are equally likely to develop the disorder, which usually begins in childhood or early adolescence. There is some evidence that genetic factors are involved.  Panic disorder  affects about 6 million American adults and is twice as common in women as men. Panic attacks often begin in late adolescence or early adulthood, but not everyone who experiences panic attacks will develop panic disorder. Many people have just one attack and never have another. The tendency to develop panic attacks appears to be inherited.",NIHSeniorHealth,Anxiety Disorders
What are the treatments for Anxiety Disorders ?,"Most insurance plans, including health maintenance organizations (HMOs), will cover treatment for anxiety disorders. Check with your insurance company and find out. If you dont have insurance, the Health and Human Services division of your county government may offer mental health care at a public mental health center that charges people according to how much they are able to pay. If you are on public assistance, you may be able to get care through your state Medicaid plan. To learn about more mental health resources, see  Help for Mental Illness,  from the National Institute of Mental Health at NIH.",NIHSeniorHealth,Anxiety Disorders
What is (are) Anxiety Disorders ?,"Cognitive behavioral therapy (CBT) is a type of psychotherapy that is very useful in treating anxiety disorders. It can help people change the thinking patterns that support their fears and change the way they react to anxiety-provoking situations. For example, cognitive behavioral therapy can help people with panic disorder learn that their panic attacks are not really heart attacks and help people with social phobia learn how to overcome the belief that others are always watching and judging them. When people are ready to confront their fears, they are shown how to use exposure techniques to desensitize themselves to situations that trigger their anxieties.",NIHSeniorHealth,Anxiety Disorders
What are the treatments for Anxiety Disorders ?,"Exposure-based treatment has been used for many years to treat specific phobias. The person gradually encounters the object or situation that is feared, perhaps at first only through pictures or tapes, then later face-to-face. Sometimes the therapist will accompany the person to a feared situation to provide support and guidance. Exposure exercises are undertaken once the patient decides he is ready for it and with his cooperation. To be effective, therapy must be directed at the persons specific anxieties and must be tailored to his or her needs. A typical side effect is temporary discomfort involved with thinking about confronting feared situations.",NIHSeniorHealth,Anxiety Disorders
What is (are) Diabetes ?,"Too Much Glucose in the Blood Diabetes means your blood glucose (often called blood sugar) is too high. Your blood always has some glucose in it because your body needs glucose for energy to keep you going. But too much glucose in the blood isn't good for your health. Glucose comes from the food you eat and is also made in your liver and muscles. Your blood carries the glucose to all of the cells in your body. Insulin is a chemical (a hormone) made by the pancreas. The pancreas releases insulin into the blood. Insulin helps the glucose from food get into your cells. If your body does not make enough insulin or if the insulin doesn't work the way it should, glucose can't get into your cells. It stays in your blood instead. Your blood glucose level then gets too high, causing pre-diabetes or diabetes. Types of Diabetes There are three main kinds of diabetes: type 1, type 2, and gestational diabetes. The result of type 1 and type 2 diabetes is the same: glucose builds up in the blood, while the cells are starved of energy. Over the years, high blood glucose damages nerves and blood vessels, oftentimes leading to complications such as heart disease, stroke, blindness, kidney disease, nerve problems, gum infections, and amputation. Type 1 Diabetes Type 1 diabetes, which used to be called called juvenile diabetes or insulin-dependent diabetes, develops most often in young people. However, type 1 diabetes can also develop in adults. With this form of diabetes, your body no longer makes insulin or doesnt make enough insulin because your immune system has attacked and destroyed the insulin-producing cells. About 5 to 10 percent of people with diabetes have type 1 diabetes. To survive, people with type 1 diabetes must have insulin delivered by injection or a pump. Learn more about type 1 diabetes here. Type 2 Diabetes Type 2 diabetes, which used to be called adult-onset diabetes or non insulin-dependent diabetes, is the most common form of diabetes. Although people can develop type 2 diabetes at any age -- even during childhood -- type 2 diabetes develops most often in middle-aged and older people. Type 2 diabetes usually begins with insulin resistancea condition that occurs when fat, muscle, and liver cells do not use insulin to carry glucose into the bodys cells to use for energy. As a result, the body needs more insulin to help glucose enter cells. At first, the pancreas keeps up with the added demand by making more insulin. Over time, the pancreas doesnt make enough insulin when blood sugar levels increase, such as after meals. If your pancreas can no longer make enough insulin, you will need to treat your type 2 diabetes. Learn more about type 2 diabetes here. Gestational Diabetes Some women develop gestational diabetes during the late stages of pregnancy. Gestational diabetes is caused by the hormones of pregnancy or a shortage of insulin. Although this form of diabetes usually goes away after the baby is born, a woman who has had it and her child are more likely to develop diabetes later in life. Prediabetes Prediabetes means your blood glucose levels are higher than normal but not high enough for a diagnosis of diabetes. People with prediabetes are at an increased risk for developing type 2 diabetes and for heart disease and stroke. The good news is that if you have prediabetes, you can reduce your risk of getting type 2 diabetes. With modest weight loss and moderate physical activity, you can delay or prevent type 2 diabetes.  Learn more about prediabetes here.  Signs of Diabetes Many people with diabetes experience one or more symptoms, including extreme thirst or hunger, a frequent need to urinate and/or fatigue. Some lose weight without trying. Additional signs include sores that heal slowly, dry, itchy skin, loss of feeling or tingling in the feet and blurry eyesight. Some people with diabetes, however, have no symptoms at all. How Many Have Diabetes? Nearly 29 million Americans age 20 or older (12.3 percent of all people in this age group) have diabetes, according to 2014 estimates from the Centers for Disease Control and Prevention (CDC). About 1.9 million people aged 20 years or older were newly diagnosed with diabetes in 2010 alone. People can get diabetes at any age, but the risk increases as we get older. In 2014, over 11 million older adults living in the U.S -- nearly 26 percent of people 65 or older -- had diabetes. See more statistics about diabetes from the  National Diabetes Statistics Report 2014. (Centers for Disease Control and Prevention.) If Diabetes is Not Managed Diabetes is a very serious disease. Over time, diabetes that is not well managed causes serious damage to the eyes, kidneys, nerves, heart, gums and teeth. If you have diabetes, you are more likely than people without diabetes to have heart disease or a stroke. People with diabetes also tend to develop heart disease or stroke at an earlier age than others. The best way to protect yourself from the serious complications of diabetes is to manage your blood glucose, blood pressure and cholesterol and to avoid smoking. It is not always easy, but people who make an ongoing effort to manage their diabetes can greatly improve their overall health.",NIHSeniorHealth,Diabetes
Who is at risk for Diabetes? ?,"Diabetes is a serious, life-long disease. It can lead to problems such as heart disease, stroke, vision loss, kidney disease, and nerve damage. More than 8 million people in the United States have type 2 diabetes and dont know it. Many people dont find out they have diabetes until they are faced with problems such as blurry vision or heart trouble. Certain factors can increase your risk for diabetes, and its important to know what they are. Type 1 Diabetes Type 1 diabetes is an autoimmune disease. In an autoimmune reaction, antibodies, or immune cells, attach to the bodys own healthy tissues by mistake, signaling the body to attack them. At present, scientists do not know exactly what causes the body's immune system to attack the cells, but many believe that both genetic factors and environmental factors, such as viruses, are involved. Studies are now underway to identify these factors and prevent type 1 diabetes in people at risk.  Learn more about the causes of type 1 diabetes.  Type 2 Diabetes Type 2 diabetes -- the most common form -- is linked closely to overweight and obesity, high blood pressure, and abnormal cholesterol levels. Many people with type 2 diabetes are overweight. Being overweight can keep your body from using insulin properly. Genes also play an important role in a person's risk for type 2 diabetes. Having certain genes or combinations of genes may increase or decrease a persons risk for developing the disease.  Here are the risk factors for type 2 diabetes. -  being over 45 years of age  -  being overweight or obese  - having a first-degree relative -- a parent, brother, or sister -- with diabetes  - being African American, American Indian or Alaska Native, Asian American or Pacific Islander, or Hispanic American/Latino. (Watch the video to learn more about native Americans and diabetes risk. To enlarge the video, click the brackets in the lower right-hand corner. To reduce the video, press the Escape (Esc) button on your keyboard.) being over 45 years of age being overweight or obese having a first-degree relative -- a parent, brother, or sister -- with diabetes being African American, American Indian or Alaska Native, Asian American or Pacific Islander, or Hispanic American/Latino. (Watch the video to learn more about native Americans and diabetes risk. To enlarge the video, click the brackets in the lower right-hand corner. To reduce the video, press the Escape (Esc) button on your keyboard.) - having gestational diabetes, or giving birth to at least one baby weighing more than 9 pounds  - having blood pressure of 140/90 or higher, or having been told that you have high blood pressure.  - having abnormal cholesterol levels -- an HDL cholesterol level of 35 or lower, or a triglyceride level of 250 or higher  - being inactive or exercising fewer than three times a week.  - having polycystic ovary syndrome, also called PCOS (women only)  - on previous testing, having prediabetes (an A1C level of 5.7 to 6.4 percent), impaired glucose tolerance (IGT) or impaired fasting glucose (IFG)  - history of cardiovascular disease (disease affecting the heart and blood vessels). having gestational diabetes, or giving birth to at least one baby weighing more than 9 pounds having blood pressure of 140/90 or higher, or having been told that you have high blood pressure. having abnormal cholesterol levels -- an HDL cholesterol level of 35 or lower, or a triglyceride level of 250 or higher being inactive or exercising fewer than three times a week. having polycystic ovary syndrome, also called PCOS (women only) on previous testing, having prediabetes (an A1C level of 5.7 to 6.4 percent), impaired glucose tolerance (IGT) or impaired fasting glucose (IFG) history of cardiovascular disease (disease affecting the heart and blood vessels).  Learn more about the causes of type 2 diabetes.  Prediabetes and Type 2 Diabetes Before people develop type 2 diabetes, they usually have prediabetes -- a condition in which blood glucose levels are higher than normal, but not high enough for a diagnosis of diabetes. People with prediabetes are more likely to develop diabetes within 10 years and also are more likely to have a heart attack or stroke. Prediabetes is increasingly common in the U.S. adult population. In 2012, about 86 million people in the U.S. had pre-diabetes, and 51% of those 65 or older had prediabetes. Learn more about prediabetes.  Gestational Diabetes Some women develop diabetes during the late stages of pregnancy. This is called gestational diabetes. Although this form of diabetes usually goes away after the baby is born, a woman who has had it has a lifelong risk for developing diabetes, mostly type 2.",NIHSeniorHealth,Diabetes
How to prevent Diabetes ?,"The two most common forms of diabetes are type 1 and type 2. Currently, there is no way to delay or prevent type 1 diabetes. However, research has shown that type 2 diabetes can be prevented or delayed in people at risk for the disease. Preventing type 2 diabetes can mean a healthier and longer life without serious complications from the disease such as heart disease, stroke, blindness, kidney failure, and amputations. Preventing Type 2 Diabetes Before people develop type 2 diabetes, they usually have prediabetes -- a condition in which blood glucose levels are higher than normal, but not yet high enough for a diagnosis of diabetes. The good news is that if you have prediabetes, there are ways to reduce your risk of getting type 2 diabetes. With modest weight loss and moderate physical activity, you can delay or prevent type 2 diabetes Benefits of Weight Loss and Exercise  The Diabetes Prevention Program (DPP) is a landmark study by the National Institute of Diabetes and Digestive and Kidney Diseases. DPP researchers found that adults at high risk for type 2 diabetes were able to cut their risk in half by losing a modest amount of weight and being active almost every day. This means losing 5 to 7 percent of body weight (that's 10 pounds if you weigh 200 pounds) and getting 150 minutes of physical activity a week. The drug metformin reduced the risk of type 2 diabetes by 34 percent but was more effective in younger and heavier adults. (Watch the video to learn more about preventing type 2 diabetes. To enlarge the video, click the brackets in the lower right-hand corner. To reduce the video, press the Escape (Esc) button on your keyboard.) The benefits of weight loss and regular exercise have long-lasting value. In a DPP follow-up trial known as the Diabetes Prevention Program Outcome Study (DPPOS), people at risk of type 2 diabetes who kept off the weight they had lost and who continued to exercise regularly delayed the onset of type 2 diabetes by about 4 years. The DPP study also showed that modest weight loss (achieved by following a low calorie, low-fat diet) and moderate physical activity were especially effective in preventing or delaying the development of diabetes in older people. In fact, people over the age of 60 were able to reduce their risk for developing type 2 diabetes by 71 percent. How to Lower Your Risk Making modest lifestyle changes can help prevent or delay type 2 diabetes in people who are at risk. Here are some tips. Reach and Maintain a Reasonable Body Weight Your weight affects your health in many ways. Being overweight can keep your body from making and using insulin properly. It can also cause high blood pressure. The Body Mass Index chart  (seen here) can be used to find out whether someone is normal weight, overweight, or obese. Body mass index is a measurement of body weight relative to height for adults age 20 or older. To use the chart -  find the person's height in the left-hand column   -  move across the row to find the number closest to the person's weight   -  find the number at the top of that column   - The number at the top of the column is the persons BMI. find the person's height in the left-hand column move across the row to find the number closest to the person's weight find the number at the top of that column The number at the top of the column is the persons BMI. The words above the BMI number indicate whether the person is normal weight, overweight, or obese. People who are overweight or obese should consider talking with a health care provider about ways to lose weight and reduce the risk of diabetes. The BMI has certain limitations. The BMI may overestimate body fat in athletes and others who have a muscular build and underestimate body fat in older adults and others who have lost muscle.  Waist Measurement. In addition to weight, the location of excess fat on the body can be important. A waist measurement of 40 inches or more for men and 35 inches or more for women is linked to insulin resistance and increases a persons risk for type 2 diabetes. This is true even if a persons body mass index (BMI) falls within the normal range. To measure the waist, a person should - place a tape measure around the bare abdomen just above the hip bone  - make sure the tape is snug but isnt digging into the skin and is parallel to the floor  - relax, exhale, and measure. place a tape measure around the bare abdomen just above the hip bone make sure the tape is snug but isnt digging into the skin and is parallel to the floor relax, exhale, and measure. Make Healthy Food Choices What you eat has a big impact on your weight and overall health. By developing healthy eating habits, you can help manage your body weight, blood pressure, and cholesterol. Reducing portion size, increasing the amount of fiber you consume (by eating more fruits and vegetables) and limiting fatty and salty foods are key to a healthy diet. Here are more tips for eating well with diabetes. - Make a diabetes meal plan with help from your health care team.   - Choose foods that are lower in calories, saturated fat, trans fat, sugar, and salt.   - Eat foods with more fiber, such as whole grain cereals, breads, crackers, rice, or pasta.   - Choose foods such as fruits, vegetables, whole grains, bread and cereals, and low-fat or skim milk and cheese.   - Drink water instead of juice and regular soda.   - When eating a meal, fill half of your plate with fruits and vegetables, one quarter with a lean protein, such as beans, or chicken or turkey without the skin, and one quarter with a whole grain, such as brown rice or whole wheat pasta. Make a diabetes meal plan with help from your health care team. Choose foods that are lower in calories, saturated fat, trans fat, sugar, and salt. Eat foods with more fiber, such as whole grain cereals, breads, crackers, rice, or pasta. Choose foods such as fruits, vegetables, whole grains, bread and cereals, and low-fat or skim milk and cheese. Drink water instead of juice and regular soda. When eating a meal, fill half of your plate with fruits and vegetables, one quarter with a lean protein, such as beans, or chicken or turkey without the skin, and one quarter with a whole grain, such as brown rice or whole wheat pasta. For more about healthy eating and older adults see  ""Eating Well as You Get Older."" Be Physically Active Get at least 30 minutes of exercise at least five days a week. Regular exercise reduces diabetes risk in several ways. It - helps you lose weight  - controls your cholesterol and blood pressure  -  improves your body's use of insulin.  helps you lose weight controls your cholesterol and blood pressure improves your body's use of insulin. Many people make walking part of their daily routine because its easy, fun and convenient. But you can choose any activity that gets you moving. Its fine to break up your 30 minutes of exercise into smaller increments, such as three 10-minute periods. Check with your doctor before beginning any exercise program. Many people make walking part of their daily routine because its easy, fun and convenient. But you can choose any activity that gets you moving. Its fine to break up your 30 minutes of exercise into smaller increments, such as three 10-minute periods. Check with your doctor before beginning any exercise program. For more information on exercise and older adults, see  Exercises to Try or visit Go4Life, the exercise and physical activity campaign for older adults from the National Institute on Aging.",NIHSeniorHealth,Diabetes
What are the symptoms of Diabetes ?,"Diabetes is often called a ""silent"" disease because it can cause serious complications even before you have symptoms. Symptoms can also be so mild that you dont notice them. An estimated 8 million people in the United States have type 2 diabetes and dont know it, according to 2012 estimates by the Centers for Disease Control and Prevention (CDC). Common Signs Some common symptoms of diabetes are: - being very thirsty  - frequent urination  - feeling very hungry or tired  - losing weight without trying  - having sores that heal slowly  - having dry, itchy skin  - loss of feeling or tingling in the feet  - having blurry eyesight. being very thirsty frequent urination feeling very hungry or tired losing weight without trying having sores that heal slowly having dry, itchy skin loss of feeling or tingling in the feet having blurry eyesight. Signs of type 1 diabetes usually develop over a short period of time. The signs for type 2 diabetes develop more gradually. Tests for Diabetes The following tests are used to diagnose diabetes or prediabetes. - An A1C test measures your average blood glucose levels over the past 3 months. It can be used to diagnose type 2 diabetes and prediabetes. It does not require fasting and blood can be drawn for the test any time of the day.  An A1C test measures your average blood glucose levels over the past 3 months. It can be used to diagnose type 2 diabetes and prediabetes. It does not require fasting and blood can be drawn for the test any time of the day. - A fasting plasma glucose, or FPG test, measures your blood glucose after you have gone at least 8 hours without eating. Doctors use this test to detect diabetes or prediabetes.  A fasting plasma glucose, or FPG test, measures your blood glucose after you have gone at least 8 hours without eating. Doctors use this test to detect diabetes or prediabetes. - In a random plasma glucose test, your doctor checks your blood glucose without regard to when you ate your last meal. This test, along with an assessment of symptoms, is used to diagnose diabetes but not prediabetes.  In a random plasma glucose test, your doctor checks your blood glucose without regard to when you ate your last meal. This test, along with an assessment of symptoms, is used to diagnose diabetes but not prediabetes. - An oral glucose tolerance test, or OGTT, measures your blood glucose after you have gone at least 8 hours without eating and 2 hours after you drink a sweet beverage. Doctors also use the oral glucose tolerance test to diagnose gestational diabetes in pregnant women.  An oral glucose tolerance test, or OGTT, measures your blood glucose after you have gone at least 8 hours without eating and 2 hours after you drink a sweet beverage. Doctors also use the oral glucose tolerance test to diagnose gestational diabetes in pregnant women. If any of these tests show that you might have diabetes, your doctor will need to repeat the test with a second measurement unless there are clear symptoms of diabetes. Get more details about tests for diabetes. Who Should Get Tested? Because type 2 diabetes is more common in older people, anyone who is 45 or older should consider getting tested. If you are 45 or older and overweight, getting tested is strongly recommended. If you are younger than 45, overweight, and have one or more risk factors, you also should talk with your doctor about being tested. See risk factors for type 2 diabetes. Why Early Detection is Important Diabetes is a serious disease that can lead to a number of health problems such as heart disease, stroke, vision problems, kidney disease and even death. Sometimes people have symptoms but do not suspect diabetes. They delay scheduling a checkup because they do not feel sick. Many people do not find out they have the disease until they have diabetes complications, such as a heart attack or stroke. Finding out early if you have diabetes is important because treatment can prevent or delay the complications of the disease.",NIHSeniorHealth,Diabetes
